,0
0,"[0.00000000e+00 1.00897992e-04 7.06285945e-04 ... 1.00000000e+00
 1.00000000e+00 1.00000000e+00]"
1,"[1.00000000e+00 1.00000000e+00 1.00000000e+00 ... 4.92691739e-04
 3.28461159e-04 0.00000000e+00]"
2,0.9851766118354819
3,5868.29815
